Variable,Early_Effect,Early_p,Late_Effect,Late_p,Delta,Zone,Model
elevation,0.016532726957971373,0.06331234783854604,-0.01658724401855784,0.04747559101151486,-0.03311997097652922,All,M4
mean_temp,0.02488329162608327,0.014468947386641853,-0.021419580242230143,0.03438527863925034,-0.04630287186831342,All,M5
sen_temp,0.018953807623725245,0.0025007183746457657,0.046878140533013465,2.7929723303878952e-14,0.02792433290928822,All,M5
mean_Q,0.01061393537045676,0.12114555054114647,-0.011630588430737067,0.1299466169256032,-0.02224452380119383,All,M5
mean_organic,0.006051480332759543,0.4154212119063507,0.0012367157479510206,0.8753621557083435,-0.004814764584808522,All,M5
mean_salinity,-0.006643219745147471,0.40378750105356825,0.006480762624565428,0.3111720814302702,0.013123982369712898,All,M5
HFP_period,-0.010346035736773881,0.21960840887017233,-0.008054890666842753,0.2717899574854334,0.0022911450699311282,All,M5
elevation,0.0075113714311087106,0.3207048940735607,-0.024874990182930806,2.707073490511131e-4,-0.032386361614039516,All,M5
mean_temp,0.027721672036684266,0.018166221344573522,-0.019240232360205112,0.09841572292770284,-0.04696190439688938,All,M6
sen_temp,0.018971171458572487,0.002505917334149246,0.04630476045397551,6.443757693294946e-14,0.027333588995403023,All,M6
mean_Q,0.010087741842188963,0.1416947845652439,-0.012256110163417254,0.11138631695255005,-0.022343852005606218,All,M6
mean_organic,0.006963620609791794,0.35463070592016355,0.002358349052671084,0.7678774456074011,-0.00460527155712071,All,M6
mean_salinity,-0.006454396707072208,0.41774957555719927,0.006694694618612429,0.2961994984573396,0.013149091325684637,All,M6
HFP_period,-0.010480423819369948,0.21837057187590922,-0.007778283876207936,0.2938293098688184,0.002702139943162012,All,M6
elevation,0.008633287071955853,0.27275347919412957,-0.024073888807056743,7.358201767036823e-4,-0.0327071758790126,All,M6
mean_temp,-0.15357909227102026,0.026823899542894332,-0.0808401674994595,0.1953985231314894,0.07273892477156076,Cold,M1
sen_temp,-0.041264184386606534,0.053986016330545464,0.026379055993040464,0.33213133341324774,0.067643240379647,Cold,M1
mean_Q,0.02263011410794176,0.39615838394007047,0.002707122245230601,0.9156280779488305,-0.019922991862711157,Cold,M1
mean_organic,1.469517879996971,0.061180322222487475,1.1270363035310287,0.07601448285972014,-0.34248157646594235,Cold,M1
mean_salinity,-0.07586364958716793,0.8921696422631608,-0.23176582370347865,0.5469244204178949,-0.15590217411631072,Cold,M1
HFP_period,-4.793297992826877e-4,0.9830146921464243,-0.04483995737527158,0.04363677321327498,-0.04436062757598889,Cold,M1
elevation,-0.004187014323067296,0.8342171021844433,-0.05231044005674504,0.006266442880830472,-0.04812342573367774,Cold,M1
mean_temp,-0.14609727130453765,0.0424922204466564,-0.08272744224661992,0.20558442547476813,0.06336982905791773,Cold,M2
sen_temp,-0.04011214531708347,0.06487684701054403,0.0263535786910736,0.3370899945605895,0.06646572400815708,Cold,M2
mean_Q,0.026110219270831635,0.3558140116862363,-8.266036628824822e-4,0.9754926727969379,-0.02693682293371412,Cold,M2
mean_organic,1.4067902519422417,0.0809227697010023,1.1530128289031505,0.08157863216236098,-0.25377742303909123,Cold,M2
mean_salinity,0.004559205377856965,0.9937231152737543,-0.2681838457177275,0.5112465489385691,-0.2727430510955845,Cold,M2
HFP_period,-0.0016259134456708777,0.9450609645343804,-0.04144964208745405,0.0758196004610991,-0.03982372864178318,Cold,M2
elevation,-0.003853581474120834,0.8519159119588253,-0.051537300165262256,0.009148304904648552,-0.04768371869114142,Cold,M2
mean_temp,-0.16413397580906627,0.023970424037626007,-0.08928465481803242,0.17231754341513475,0.07484932099103385,Cold,M3
sen_temp,-0.04235116266645015,0.04918356292699749,0.026347750585578707,0.3326405727838746,0.06869891325202886,Cold,M3
mean_Q,0.0213096425067536,0.42766482670772793,0.001959470444150896,0.9390673069014132,-0.019350172062602707,Cold,M3
mean_organic,1.3410065220939387,0.10011379521452891,1.0600478911142992,0.10568186977106359,-0.28095863097963947,Cold,M3
mean_salinity,-0.05083037858544159,0.9277116822061716,-0.22204941321856808,0.5653932568479443,-0.1712190346331265,Cold,M3
HFP_period,-0.002047710733563002,0.9278814838359131,-0.04499610791387682,0.043133335860310075,-0.04294839718031382,Cold,M3
elevation,-0.009757991485754992,0.6698475806535986,-0.055720990788467685,0.009295117703127565,-0.04596299930271269,Cold,M3
mean_temp,-0.15619147925043825,0.03889634524039906,-0.09092925144819884,0.18526822118240638,0.0652622278022394,Cold,M4
sen_temp,-0.04105835471889481,0.05997819178599202,0.026334434752563605,0.337373194740652,0.06739278947145841,Cold,M4
mean_Q,0.02495298816750967,0.38068618525612535,-0.0014769768234247826,0.9563563257507357,-0.026429964990934453,Cold,M4
mean_organic,1.284366272195923,0.12583914596876034,1.0886247304929924,0.11134527207841735,-0.19574154170293068,Cold,M4
mean_salinity,0.03149002483317857,0.9567346012388841,-0.25667773512455555,0.5315109104016791,-0.28816775995773414,Cold,M4
HFP_period,-0.003210841777562964,0.8923375491780714,-0.041743238433361904,0.07423007102878902,-0.03853239665579894,Cold,M4
elevation,-0.00926356289819831,0.6992446348224222,-0.054943435815255535,0.01448310685507422,-0.045679872917057225,Cold,M4
mean_temp,-0.17621674875955312,2.9132433536697435e-4,-0.13217455963004146,0.0031432445524031414,0.04404218912951166,Cold,M5
sen_temp,-0.014659684922416752,0.4908102512229649,0.052183864236381265,0.05025610555820695,0.06684354915879802,Cold,M5
mean_Q,0.0212680940318867,0.45211046813301325,-0.02284768324798815,0.3909347531604601,-0.044115777279874854,Cold,M5
mean_organic,1.255033494099717,0.10735887173754805,1.3759186425476275,0.029440018755455197,0.12088514844791054,Cold,M5
mean_salinity,-0.16548382151451183,0.7669043189746229,-0.6251135193774991,0.10898986977277374,-0.45962969786298735,Cold,M5
HFP_period,0.007161206895475589,0.7626700385025271,-0.037798513057210416,0.10876370951429433,-0.04495971995268601,Cold,M5
elevation,0.0016612618927205087,0.9276162068563626,-0.03993438496588285,0.0250829102080536,-0.041595646858603355,Cold,M5
mean_temp,-0.17542105662755533,3.359830913780234e-4,-0.13042463141100447,0.0037722614196781645,0.04499642521655087,Cold,M6
sen_temp,-0.014460909932339883,0.49754545006411605,0.05226994264010939,0.04992842991609835,0.06673085257244928,Cold,M6
mean_Q,0.021870356289493412,0.4403223379516505,-0.02240522189542805,0.4005370566702631,-0.04427557818492146,Cold,M6
mean_organic,1.292295734333007,0.11366649681221433,1.4113740417505083,0.028563226830644925,0.11907830741750125,Cold,M6
mean_salinity,-0.1638955657595297,0.769579859995881,-0.6370244608457661,0.10308210776025865,-0.47312889508623646,Cold,M6
HFP_period,0.007411431035602557,0.756667321898004,-0.03704475603453538,0.11703321806332162,-0.04445618707013794,Cold,M6
elevation,0.0034164863704612674,0.8655570493295132,-0.03738911086762077,0.05094950665198878,-0.04080559723808204,Cold,M6
mean_temp,0.1404179430237942,5.555966318333289e-8,-0.07429342505311887,0.002551522884774803,-0.21471136807691307,Intermediate,M1
sen_temp,0.014259870975726388,0.09022686139545495,0.03421929641741318,4.281536297086496e-6,0.019959425441686787,Intermediate,M1
mean_Q,1.7057972298963284e-4,0.9799428247770016,-0.03797214013186114,4.546849324383937e-6,-0.03814271985485077,Intermediate,M1
mean_organic,-0.012384244384456344,0.12106700843159232,0.01691716823028066,0.0531808939911723,0.029301412614737003,Intermediate,M1
mean_salinity,-0.01819999059339734,0.059378486473864706,-0.009986898848313453,0.2403347994136905,0.008213091745083887,Intermediate,M1
HFP_period,-0.011170522523260968,0.3234688075937944,0.004150851894122981,0.6664997229782907,0.015321374417383949,Intermediate,M1
elevation,-0.007406149026469928,0.46211294549155263,-0.023979310989076113,0.008478203959009332,-0.016573161962606185,Intermediate,M1
mean_temp,0.1365934785002843,9.818937715163437e-7,-0.088065096603493,9.398937242910845e-4,-0.2246585751037773,Intermediate,M2
sen_temp,0.009850532010226383,0.2680963432334525,0.03001037216354637,1.3273010011702124e-4,0.020159840153319987,Intermediate,M2
