Term,Estimate,Std. Error,df,t value,Pr(>|t|),p,sig,Effect_type,Delta_var,Zone,Model
Period_bin:mean_salinity_z,0.014064790930317983,0.008745297807847713,29833.491024646024,1.6082689508522796,0.10778686928978565,0.10778686928978565,,Delta,mean_salinity_z,All,M1
Period_bin:HFP_period_z,0.0015837020799663458,0.009311447179622373,29834.347822711294,0.1700811967695201,0.864947434107398,0.864947434107398,,Delta,HFP_period_z,All,M1
Period_bin:elevation_z,-0.033769532106776315,0.008490801618136555,29864.4388650761,-3.9771900964737874,6.989870034162772e-5,6.989870034162772e-5,***,Delta,elevation_z,All,M1
(Intercept),0.06588473432679558,0.034112008556856706,10.964254429662935,1.9314234814693247,0.07967998942588174,0.07967998942588174,,Main,NA,All,M2
Period_bin,-0.06952689814375447,0.008424556183658257,24229.925354006064,-8.252885567861842,1.6240735907327763e-16,1.6240735907327763e-16,***,Period,NA,All,M2
mean_temp_z,0.0736526453983622,0.015633844739006798,79.01637031470891,4.711102523271014,1.0382350339275612e-5,1.0382350339275612e-5,***,Main,NA,All,M2
sen_temp_z,0.015742649009767868,0.00630353139275488,22804.34237901611,2.497433268574195,0.012516592508627522,0.012516592508627522,*,Main,NA,All,M2
mean_Q_z,0.005692058573784115,0.007218272484431806,2153.5239643148097,0.7885624415066912,0.43045458626596733,0.43045458626596733,,Main,NA,All,M2
mean_organic_z,0.00425978767963627,0.007526221843961505,6248.576115838814,0.5659928404919415,0.5714189722013283,0.5714189722013283,,Main,NA,All,M2
mean_salinity_z,-0.008751789582541112,0.00794108032667544,5355.700144420369,-1.1020905497130362,0.2704718305576469,0.2704718305576469,,Main,NA,All,M2
HFP_period_z,-0.011690080784764004,0.008557046512934085,6669.682556721251,-1.3661350054711399,0.17194265139107692,0.17194265139107692,,Main,NA,All,M2
elevation_z,0.01270622336071397,0.00853203113033943,816.2487637504096,1.4892378106229998,0.1368110178016398,0.1368110178016398,,Main,NA,All,M2
Period_bin:mean_temp_z,-0.05001106321978702,0.009324434004449956,27688.76328505766,-5.3634422417403504,8.230482728442013e-8,8.230482728442013e-8,***,Delta,mean_temp_z,All,M2
Period_bin:sen_temp_z,0.02836403415655374,0.00887230370423176,21763.85647780561,3.1969187600087614,0.0013910253756085425,0.0013910253756085425,**,Delta,sen_temp_z,All,M2
Period_bin:mean_Q_z,-0.021451641618195464,0.008079191377986177,27683.147859129946,-2.6551718624522187,0.00793133777211295,0.00793133777211295,**,Delta,mean_Q_z,All,M2
Period_bin:mean_organic_z,-0.004840009211455028,0.009115176407402278,27560.442298067144,-0.5309836030737201,0.5954344205162074,0.5954344205162074,,Delta,mean_organic_z,All,M2
Period_bin:mean_salinity_z,0.013130336178134642,0.008832629316980447,28701.85000979225,1.4865716319479174,0.13713896909348708,0.13713896909348708,,Delta,mean_salinity_z,All,M2
Period_bin:HFP_period_z,0.0039559415654463114,0.009547623563753932,26385.347766754247,0.4143378233369431,0.6786300855911817,0.6786300855911817,,Delta,HFP_period_z,All,M2
Period_bin:elevation_z,-0.03301930892048299,0.0086626418420164,26997.413077072062,-3.811690419928189,1.3832602184461057e-4,1.3832602184461057e-4,***,Delta,elevation_z,All,M2
(Intercept),0.05427471612019921,0.055252324204385896,40.483775417251735,0.9823064803469556,0.331783224639424,0.331783224639424,,Main,NA,All,M3
Period_bin,-0.06490027135915834,0.008199932249661613,29881.57340568344,-7.91473263231371,2.5630960441282406e-15,2.5630960441282406e-15,***,Period,NA,All,M3
mean_temp_z,0.09820106874202011,0.01564524514937513,1148.1280777711022,6.276735698573714,4.892417278024061e-10,4.892417278024061e-10,***,Main,NA,All,M3
sen_temp_z,0.01728820908346576,0.005982590258133633,29303.07982916421,2.889753156663465,0.0038582719932224226,0.0038582719932224226,**,Main,NA,All,M3
mean_Q_z,8.088943137793747e-5,0.005535569209965105,28279.03082743449,0.014612667335514603,0.9883412963434901,0.9883412963434901,,Main,NA,All,M3
mean_organic_z,-4.446842695278854e-4,0.006640288680855919,29893.067383595477,-0.06696761103322492,0.9466079358073296,0.9466079358073296,,Main,NA,All,M3
mean_salinity_z,-0.010888503450267255,0.006969473475639999,29877.66497711509,-1.5623136365071504,0.11822471226614593,0.11822471226614593,,Main,NA,All,M3
