Zone,Factor,Early_Effect,Early_CI95_L,Early_CI95_U,Early_p,Early_sig,Late_Effect,Late_CI95_L,Late_CI95_U,Late_p,Late_sig,Delta,Delta_p
Cold,elevation,-0.004252302037888459,-0.04512183292875083,0.0366172288529739,0.8384113481614164,,-0.052146841159867785,-0.09124643670498986,-0.013047245614745712,0.008949179766385753,**,-0.04789453912197933,0.046732575353782516
Intermediate,mean_temp,0.13790201991403037,0.08223327049380998,0.19357076933425077,1.2026442464010635e-6,***,-0.08734512972897711,-0.1403711927516877,-0.034319066706266534,0.0012445222101281038,**,-0.22524714964300746,7.924210668988754e-13
Intermediate,sen_temp,0.009956092586925909,-0.00749493782767084,0.027407123001522656,0.2634854824343683,,0.02972556393153574,0.014310412573608667,0.04514071528946281,1.571652850023571e-4,***,0.01976947134460983,0.09679221567412119
Intermediate,mean_Q,0.005498115141877696,-0.012028104943715156,0.023024335227470546,0.5386495935094623,,-0.032371554314154206,-0.05345670008659427,-0.011286408541714147,0.0026203232861571053,**,-0.0378696694560319,3.118662490380339e-4
Intermediate,mean_organic,-0.00839281325830152,-0.026044826784946247,0.009259200268343206,0.3513969825489084,,0.020398069041621135,8.335819750457107e-4,0.03996255610819656,0.0410057406414177,*,0.028790882299922653,0.013382143993085188
Intermediate,mean_salinity,-0.01731329104832572,-0.03912390808855607,0.004497325991904631,0.11975054423546773,,-0.008196886668903513,-0.027573842927992052,0.011180069590185027,0.4070429116575697,,0.009116404379422207,0.4803252126069687
Intermediate,HFP_period,-0.007708697244556988,-0.03244085011824062,0.01702345562912664,0.5412685480820654,,0.00904876319368822,-0.012278410336627757,0.030375936724004196,0.40564608143214587,,0.016757460438245206,0.25246245322161215
Intermediate,elevation,-0.0064446986705443965,-0.028159035930278867,0.015269638589190074,0.5607642014678818,,-0.02365802405214969,-0.043343195991218705,-0.003972852113080672,0.018496652384107793,*,-0.017213325381605294,0.13996036631573958
Warm,mean_temp,0.17131530792165828,0.07913510132361976,0.26349551451969677,2.699411666950725e-4,***,0.14659391552623718,0.06686653998093563,0.22632129107153875,3.136396061161547e-4,***,-0.024721392395421093,0.6161943657797803
Warm,sen_temp,0.03316628884784848,0.012936853025859538,0.05339572466983743,0.0013118560212821186,**,0.08309967540571622,0.0610499909628228,0.10514935984860965,1.506220486812527e-13,***,0.04993338655786774,0.001071817852319121
Warm,mean_Q,-0.04455290747382876,-0.07516182237876966,-0.01394399256888786,0.004333151335979616,**,0.01242703974601997,-0.016309401439207512,0.04116348093124745,0.3966696382265225,,0.056979947219848726,8.79561382566529e-4
Warm,mean_organic,0.05380155959999982,0.014641185372699594,0.09296193382730004,0.007086526811788122,**,-0.029415433552362494,-0.06091271410797611,0.0020818470032511194,0.06718745305932211,,-0.0832169931523623,1.6586911948907856e-4
Warm,mean_salinity,-0.03188414623913447,-0.05605204547867723,-0.0077162469995917145,0.009717166130165983,**,0.012572529583668031,-0.004286248695898434,0.029431307863234495,0.14383597593433073,,0.0444566758228025,5.739181084365792e-4
Warm,HFP_period,-0.01959025736741765,-0.04860107736254723,0.009420562627711924,0.18566481900149984,,-0.02501160264456928,-0.04855381338199817,-0.0014693919071403945,0.0373154832086255,*,-0.005421345277151629,0.7327136081021008
Warm,elevation,0.03477455988147962,8.342101339475771e-4,0.06871490962901167,0.04462869528282275,*,0.01066796283633461,-0.020516907396898827,0.04185283306956805,0.5025520325239824,,-0.024106597045145013,0.1796871699665729
