Term,Estimate,Std. Error,df,t value,Pr(>|t|),Effect_type,Delta_var,Zone,Model
Period_bin:HFP_period_z,-0.0017741444857292687,0.015290545438644321,1058.4433926202591,-0.11602885540272569,0.9076516824762498,Delta,HFP_period_z,Cold,M1
Period_bin:elevation_z,-0.009240088126907731,0.010509329057817351,1063.0832191918023,-0.8792272157502294,0.37947678079056413,Delta,elevation_z,Cold,M1
Period_bin,0.5807150446498884,0.3092651774750569,928.8624379462295,1.8777252886698657,0.06073189213553308,Period,NA,Cold,M2
mean_temp_z,0.005239039999505885,0.032580622773965784,321.65477779430586,0.16080232829963728,0.8723500357280305,Main,NA,Cold,M2
sen_temp_z,0.020713493823588936,0.024318302063888048,972.2917936546368,0.8517656277634554,0.3945539264567012,Main,NA,Cold,M2
mean_Q_z,-0.018083094008683118,0.009255763973834112,1067.8995325791577,-1.9537116611663519,0.05099611406281349,Main,NA,Cold,M2
mean_organic_z,-1.0052212881820672,0.35064609324533696,987.4978536076864,-2.866768823455115,0.004234977129234727,Main,NA,Cold,M2
mean_salinity_z,0.4381811315481409,0.20685609288755943,1056.4465794279292,2.1182897029111083,0.03438351979118303,Main,NA,Cold,M2
HFP_period_z,-0.001208938659953633,0.010945785635444365,1072.47410122513,-0.11044786552724718,0.9120748581903474,Main,NA,Cold,M2
elevation_z,0.005803978933256731,0.008822229364083245,415.61150916672244,0.6578812104892318,0.5109786779905934,Main,NA,Cold,M2
Period_bin:mean_temp_z,0.0068851479117604366,0.028035177592000363,688.3492545315481,0.24558959504237504,0.8060731487693129,Delta,mean_temp_z,Cold,M2
Period_bin:sen_temp_z,-0.008886559102383892,0.02712566922595919,1003.9407565556547,-0.3276069994202937,0.7432771314470861,Delta,sen_temp_z,Cold,M2
Period_bin:mean_Q_z,0.007883374390580008,0.01224107793561023,621.8679262173639,0.6440098194005178,0.5198065138906747,Delta,mean_Q_z,Cold,M2
Period_bin:mean_organic_z,0.8736810511695974,0.4175221884831835,884.0954052439616,2.0925380141917573,0.03667503034393121,Delta,mean_organic_z,Cold,M2
Period_bin:mean_salinity_z,-0.24472078186698126,0.25261337235088627,786.0951821223846,-0.9687562443331701,0.33296478225845694,Delta,mean_salinity_z,Cold,M2
Period_bin:HFP_period_z,-0.0016025986364042262,0.015135073026725749,714.4968418274506,-0.10588641584842917,0.9157021921950952,Delta,HFP_period_z,Cold,M2
Period_bin:elevation_z,-0.009239590468809766,0.01038012021555384,621.1564496028583,-0.8901236476013953,0.3737441117607442,Delta,elevation_z,Cold,M2
Period_bin,0.5894017924032395,0.31216034775853174,1061.4496030553535,1.888137928585231,0.05927996629040728,Period,NA,Cold,M3
mean_temp_z,-0.004760068058187104,0.034135604337311526,311.9536720533299,-0.1394458410974774,0.8891878330966014,Main,NA,Cold,M3
sen_temp_z,0.020497768934846207,0.024444841647100403,1032.72749020305,0.8385314673240115,0.4019263204723119,Main,NA,Cold,M3
mean_Q_z,-0.018721338991572255,0.00927457532361015,1070.2848726627415,-2.018565631130691,0.04378141333946624,Main,NA,Cold,M3
mean_organic_z,-1.0846953014722287,0.3685662153797611,1072.9363643157662,-2.943013375098927,0.0033202874955314664,Main,NA,Cold,M3
mean_salinity_z,0.4603105967524977,0.2077144858187388,1062.7015187687505,2.21607364040169,0.02689769268370808,Main,NA,Cold,M3
HFP_period_z,-0.0021354858832476125,0.010999861489785276,1070.0856624141602,-0.19413752484344224,0.8461050469566115,Main,NA,Cold,M3
elevation_z,2.073389670220174e-4,0.01068214423152172,712.488837593185,0.019409864024320614,0.9845195756668975,Main,NA,Cold,M3
C(Protocol)Electrofishing_partialsection,0.18989227807915973,0.18572505647801327,208.64791254996837,1.0224375842450735,0.30775782651039923,Main,NA,Cold,M3
C(Protocol)Electrofishing_wholesection,0.0710335724768179,0.14253352798859426,200.84539705418985,0.49836395323423205,0.6187728437595434,Main,NA,Cold,M3
Period_bin:mean_temp_z,0.007477047549007246,0.028346103923358897,1063.5394510370118,0.2637769045518001,0.7920029310641025,Delta,mean_temp_z,Cold,M3
Period_bin:sen_temp_z,-0.007023368074387593,0.027232754366032896,1024.3144099766678,-0.25790149538262497,0.7965347353015174,Delta,sen_temp_z,Cold,M3
Period_bin:mean_Q_z,0.007908445383005051,0.012388333507661156,1059.1137968689795,0.6383784693973837,0.5233653515607204,Delta,mean_Q_z,Cold,M3
Period_bin:mean_organic_z,0.8774699643245237,0.4215916509679697,1063.327957420396,2.081326711071869,0.03764282135763857,Delta,mean_organic_z,Cold,M3
Period_bin:mean_salinity_z,-0.24116344095494585,0.25487014407996855,1062.7234298594512,-0.9462208365970003,0.3442510507430818,Delta,mean_salinity_z,Cold,M3
Period_bin:HFP_period_z,-0.0017006095254527116,0.0152954761448914,1059.6589718017738,-0.11118382385374156,0.9114916337908493,Delta,HFP_period_z,Cold,M3
Period_bin:elevation_z,-0.009161091649437528,0.010562075180795025,1066.0582393655018,-0.8673571710694788,0.38594152934528125,Delta,elevation_z,Cold,M3
Period_bin,0.5998376788455547,0.3104104261876396,924.3907010599871,1.9324018404039034,0.05361517462732719,Period,NA,Cold,M4
mean_temp_z,-0.004117784388553735,0.034187287066844964,298.1671361306501,-0.12044782554703463,0.9042095300071806,Main,NA,Cold,M4
sen_temp_z,0.02081945882471866,0.024354335808743,971.7999027206231,0.854856358564484,0.39284136721531093,Main,NA,Cold,M4
mean_Q_z,-0.01874951493771778,0.0092784906591049,1068.0309769636626,-2.020750532234362,0.04355475281081448,Main,NA,Cold,M4
mean_organic_z,-1.1015492888618321,0.36809520718280836,1065.196293999236,-2.9925662365790218,0.0028301838309688397,Main,NA,Cold,M4
mean_salinity_z,0.4550678206612624,0.20772212970904758,1061.2165453066264,2.1907527199854306,0.02868661029096265,Main,NA,Cold,M4
HFP_period_z,-0.0021359180898904563,0.010999146288710715,1070.091122927648,-0.19418944287364523,0.8460644059013555,Main,NA,Cold,M4
elevation_z,3.388588890307129e-4,0.010710357234703196,680.7101827797882,0.031638430129366575,0.9747696699690356,Main,NA,Cold,M4
