Variable,Early_Effect,Early_p,Late_Effect,Late_p,Delta,Zone,Model
HFP_period,-0.0021359180898907967,0.8460289544221166,-0.0036651074663556623,0.7403023605019549,-0.0015291893764648656,Cold,M4
elevation,3.3885888903056036e-4,0.9747603606391477,-0.008800777195871252,0.3854193740618015,-0.009139636084901813,Cold,M4
mean_temp,-0.012466915771670752,0.5686968462558175,-0.006915594767737525,0.7195503285862677,0.005551321003933227,Cold,M5
sen_temp,0.03301311415499462,0.14317785060352894,0.02216164334476306,0.04122606254889081,-0.010851470810231557,Cold,M5
mean_Q,-0.016594970646471762,0.07572718353044565,-0.009839978512835855,0.257614614816533,0.0067549921336359075,Cold,M5
mean_organic,-1.080477942767659,0.0012745330155276569,-0.040077942824982914,0.8809789129289709,1.040399999942676,Cold,M5
mean_salinity,0.698999255199768,4.866074361156771e-4,0.3264938830870688,0.05051580917273725,-0.37250537211269924,Cold,M5
HFP_period,-0.006919057396786401,0.5329661351567492,-0.004795285009340212,0.6681770264391569,0.002123772387446189,Cold,M5
elevation,0.011155953071647025,0.1489814003183005,0.0014959581306436434,0.8438638179218634,-0.009659994941003381,Cold,M5
mean_temp,-0.012865800885334386,0.5575916385783097,-0.007827273104592603,0.6862008842565255,0.005038527780741783,Cold,M6
sen_temp,0.033062119182592595,0.14377977982503615,0.02230727802703501,0.04014264747188375,-0.010754841155557585,Cold,M6
mean_Q,-0.016736231714534217,0.0734327856539252,-0.009997134980802326,0.25041823267778957,0.006739096733731891,Cold,M6
mean_organic,-1.1187968769613947,0.0018590523989609844,-0.06702948961681753,0.809281632988672,1.0517673873445772,Cold,M6
mean_salinity,0.705059354496311,4.6260722409921355e-4,0.33417244731905266,0.046135795535026496,-0.3708869071772583,Cold,M6
HFP_period,-0.007355767611041576,0.5107688094903409,-0.005302375599707985,0.6369334556126595,0.0020533920113335906,Cold,M6
elevation,0.009697550481262985,0.2766475099399405,-2.040066397953086e-4,0.9809677484353304,-0.009901557121058294,Cold,M6
mean_temp,0.06628601223769034,3.816309026024682e-4,-0.002113477451919557,0.9062521495851402,-0.0683994896896099,Intermediate,M1
sen_temp,-0.024359000524779646,0.060726399220467464,0.010562013138092607,0.11677225351554621,0.03492101366287225,Intermediate,M1
mean_Q,0.005541903260260208,0.29874776676039044,-0.02700925816263785,2.1298612954802194e-4,-0.03255116142289806,Intermediate,M1
mean_organic,-0.011365078913605579,0.09223361783038325,-0.01462149177205103,0.03943450031323234,-0.0032564128584454503,Intermediate,M1
mean_salinity,0.007997611545255402,0.30903143000541755,-0.0049197407590234376,0.4832207737449483,-0.012917352304278838,Intermediate,M1
HFP_period,0.01057501816995488,0.21641661467143358,-0.004111093117847781,0.5840891749770025,-0.014686111287802662,Intermediate,M1
elevation,-0.009418517888814683,0.20575201132252224,-0.012578007892559707,0.05143210696512907,-0.0031594900037450243,Intermediate,M1
mean_temp,0.06628601223769184,3.8161583308795775e-4,-0.002113477451917391,0.9062520685854605,-0.06839948968960924,Intermediate,M2
sen_temp,-0.02435900052477926,0.06072639696928983,0.010562013138092371,0.11677226168913402,0.03492101366287163,Intermediate,M2
mean_Q,0.005541903260260492,0.29874671012489484,-0.027009258162637904,2.1298539741426145e-4,-0.0325511614228984,Intermediate,M2
mean_organic,-0.011365078913605534,0.09223351304818173,-0.014621491772050771,0.03943456745802265,-0.003256412858445237,Intermediate,M2
mean_salinity,0.007997611545255282,0.3090322716963967,-0.004919740759023431,0.48322079934106604,-0.012917352304278713,Intermediate,M2
HFP_period,0.010575018169954846,0.21641685141963363,-0.004111093117847707,0.5840895053219692,-0.014686111287802553,Intermediate,M2
elevation,-0.00941851788881436,0.20575153944101837,-0.012578007892559789,0.05143257940590344,-0.0031594900037454285,Intermediate,M2
mean_temp,0.052834588243211016,0.014861886362605839,-0.012044329155642599,0.5461781763810752,-0.06487891739885361,Intermediate,M3
sen_temp,-0.02208777889657247,0.1006953571187156,0.010016939051769279,0.15133997881460545,0.03210471794834175,Intermediate,M3
mean_Q,0.00458981237619358,0.4079156044855854,-0.027227225610132674,2.4951689553113414e-4,-0.031817037986326256,Intermediate,M3
mean_organic,-0.012511324783411739,0.06605757349104949,-0.015940615320839974,0.02946659918467547,-0.0034292905374282354,Intermediate,M3
mean_salinity,0.008029389348110925,0.3071679966085263,-0.00478471274130235,0.4954747313804402,-0.012814102089413276,Intermediate,M3
HFP_period,0.008587968887317643,0.32436075208513326,-0.006018431271546938,0.4355165576230407,-0.01460640015886458,Intermediate,M3
elevation,-0.014371797243232887,0.12457274257484428,-0.018091784778115884,0.03162368736388465,-0.0037199875348829965,Intermediate,M3
mean_temp,0.052834588243211016,0.014861886362605839,-0.012044329155642599,0.5461781763810752,-0.06487891739885361,Intermediate,M4
sen_temp,-0.02208777889657247,0.1006953571187156,0.010016939051769279,0.15133997881460545,0.03210471794834175,Intermediate,M4
mean_Q,0.00458981237619358,0.4079156044855854,-0.027227225610132674,2.4951689553113414e-4,-0.031817037986326256,Intermediate,M4
mean_organic,-0.012511324783411739,0.06605757349104949,-0.015940615320839974,0.02946659918467547,-0.0034292905374282354,Intermediate,M4
mean_salinity,0.008029389348110925,0.3071679966085263,-0.00478471274130235,0.4954747313804402,-0.012814102089413276,Intermediate,M4
HFP_period,0.008587968887317643,0.32436075208513326,-0.006018431271546938,0.4355165576230407,-0.01460640015886458,Intermediate,M4
elevation,-0.014371797243232887,0.12457274257484428,-0.018091784778115884,0.03162368736388465,-0.0037199875348829965,Intermediate,M4
